name,calories,protein,carbs,fat,fiber
Greek Feta,277.0,16.7,1.67,23.0,0.0
Lightly salted tortilla chips,474.0,6.8,62.2,20.7,5.9
Biscuits caramel épeautre,437.0,9.2,62.0,15.0,8.5
NESTLE DESSERT Noir Bio 170g,566.0,6.2,46.5,37.9,6.7
Butter beans in water,108.0,6.9,14.8,0.7,7.3
Real mayonnaise,680.0,1.0,3.400000095,74.0,0.0
muesli superfruits,357.0,11.0,60.0,6.0,9.6
Coconut Classic,97.0,0.8,4.9,8.1,0.5
Sucre arome fleur d’oranger,0.0,0.0,0.0,0.0,0.0
Donut milky,441.0,5.46,51.79,23.59,0.0
Chips saveur beurre salé,522.0,6.3,53.0,31.0,4.8
Tomato purée,85.0,5.0,13.5,0.5,4.0
Almond Butter + Puffed Quinoa Dark Chocolate,597.0,10.3,36.7,43.3,9.33
Aranciata Rossa (orange sanguine),38.0,0.1,8.9,0.0,0.0
Boursin végétal ail & herbes,260.0,2.0,12.5,21.5,4.0
Crispy skinny fries,146.0,2.3,22.0,5.0,2.8
Pain de mie complet Grandes Tranches,259.0,9.2,42.0,4.7,6.4
Cool Sour Cream & Chive,392.0,9.28,80.4,3.09,2.06
Pampers complete clean aloe Vera,0.0,0.0,0.0,0.0,0.0
Burger rústico,253.0,11.0,40.0,4.8,8.0
Yaos,127.0,3.9,4.4,9.9,0.0
"1,5L SCHWEPPES INDIAN TONIC PE",19.0,0.0,4.4,0.0,0.0
Caramelised Onion & Balsamic Vinegar Pea & Bean Sticks,448.0,9.6,59.1,17.2,9.1
hala,900.0,0.0,0.0,100.0,0.0
Sticky Toffee Oat Boosts,407.0,6.5,44.0,19.0,16.0
Soft Bakes Blueberry,388.0,5.4,63.0,12.0,7.5
gervais le petit suisse,136.0,9.1,3.6,9.5,0.0
Coca-Cola Original 0.5,42.0,0.0,10.6,0.0,0.0
YAOURT GREC,102.0,2.2,15.4,3.5,0.0
Lentilles,88.0,6.6,13.0,0.5,3.8
Natural yogurt,81.0,5.1,6.6,3.8,0.5
Extra virgin olive oil,823.0,0.5,0.5,91.5,0.5
Smoky Roasted Red Pepper Houmous,213.0,5.9,9.5,16.1,3.2
Greek Yogurt Nonfat Plain,52.9,9.41,3.53,0.0,0.0
Müsli Multifrucht,346.0,9.1,60.8,5.3,9.4
Pur jus citron bio,28.0,0.5,1.7,0.5,0.0
Palets Bretons au beurre,505.0,6.6,63.5,25.9,0.0
"Fromage blanc 3,2% MG",75.0,7.7,3.9,3.2,0.0
Paradizniki suseni lidl,138.0,7.0,20.0,0.7,6.0
Lait Demi-Ecreme 1L,350.0,12.0,67.0,2.2,7.0
Tomapizza,47.0,1.5,6.5,1.4,1.2
Volvic zest citron,4.0,0.0,0.9,0.0,0.0
Miel de fleurs Crémeux Pot Plastique 500g,0.0,0.0,0.0,0.0,0.0
"Bonne Maman - Madeleine Milk Chocolate, 300g (10.6oz)",458.0,6.1,47.0,27.0,0.0
"Bonne Maman - Le petit Quatre-Quarts pur beurre, 300g (10 sachets fraîcheur)",433.0,6.0,46.7,24.0,1.67
Sandwich le méga - Poulet rôti oeuf x3,273.1835564,9.6,30.0,12.0,3.5
Penne au saumon et crème d'épinards,135.0,6.6,16.0,4.7,0.9
Pj pomme pet 1l,48.0,0.0,12.0,0.0,0.0
Galettes au riz complet BIO 130g,386.0,8.4,80.6,2.7,2.8
Sirop de grenadine,337.0,0.0,83.2,0.0,0.0
Monster Munch - Produit soufflé à base de pomme de terre goût salé,482.0,4.4,66.0,22.0,2.4
Le Léger 20%MG Doux Barquette,214.0,0.3,8.1,20.0,0.0
Chips Paysanne,530.0,6.0,51.0,34.0,4.0
La madeleine coque chocolat noir,461.0,5.3,50.0,26.0,2.8
Бял шоколад,534.0,4.2,65.0,28.0,0.0
Bio Vollmilch-Schokolade,564.0,7.2,52.7,35.7,0.1
Coop Irresistible Super Seeded Farmhouse,284.0,11.0,40.0,7.5,6.9
Vegetable Soup,47.0,1.1,8.3,0.8,0.9
Green Giant Sweetcorn,77.4,2.4,12.6,1.2,3.0
Italian Finely Chopped Tomatoes,25.0,1.4,4.0,0.2,0.9
Tunnocks Teacakes 6pk al anhar,442.0,4.17,62.1,19.2,2.5
Sensational Soya & Linseed Bread,241.0,12.0,34.0,5.1,6.6
"Pur jus de 6 fruits pressés myrtille, cassis, pomme, cranberry",45.3,0.333,11.3,0.333,0.333
Céréales Extra Pepites Kellogg's Choco Noisettes,497.0,8.0,57.0,25.0,5.8
Sesame oil,900.0,0.0,0.0,100.0,0.0
& Mollica Black Olive Grissini,416.0,9.6,68.0,11.0,3.2
Gaufres de Liège perles de sucre,442.0,5.11,55.6,22.2,0.889
Manteiga Açoriana,742.0,0.5,0.5,82.0,0.0
Daya,75.0,2.3,14.0,1.2,0.0
saif banane jaouda 250gr,76.0,2.3,13.7,1.4,0.0
Pufuleti,379.0,12.0,69.0,5.3,3.7
Classic extra virgin oil,828.0,0.0,0.0,92.0,0.0
La Buena María Original,437.0,7.6,76.0,11.0,2.1
Ita Isabel Tu?czyk w Pomid. 80gW&quot;,155.0,17.0,2.7,8.5,0.0
Barritas de trigo y arroz integral con chocolate con leche,345.0,6.5,54.0,9.9,7.4
Finas lonchas,102.0,11.3,7.1,3.2,0.0
Chicken stock cube,315.0,22.5,22.5,22.5,22.5
Vegetable Flavour,0.0,9.1,63.0,19.0,3.9
Noix du Bresil,683.0,16.0,4.0,66.0,0.0
Protein Bar,369.0,50.0,25.3,10.9,0.0
"Tartine p,tit dej",287.0,9.0,49.0,4.9,5.3
LOTUS BISCOFF Speculoos Original Pocket - 186g (12x2p),484.0,4.9,72.6,19.0,1.3
Petites madeleines aux œufs saint Michel,469.0,6.2,52.0,26.0,1.2
Biscottes sans sucres ajoutés,400.0,11.0,75.0,4.5,8.7
Bravo crem,259.0,3.3,7.4,24.0,0.0
Cocoa powder,368.0,19.5,11.1,21.0,28.3
Wraps de Blé Nature,299.0,9.1,53.2,5.2,1.0
Соленые огурцы Augurken Cornichons zoetzuur/aigres-doux,33.0,1.0,7.1,0.1,1.5
Buko - Der Sahnige,252.0,4.5,3.0,25.0,0.0
Boulgour tradition,349.0,14.0,64.0,2.4,11.0
Invigorate,53.0,1.3,11.0,0.11,0.93
Pain de mie complet sans croûte,264.0,11.0,42.0,4.3,6.5
"Hazelnut, Caramelised Cashew & Pistachio Milk Chocolate",591.0,9.5,39.8,42.8,4.5
Red pepper houmous,223.0,5.9,11.0,16.3,4.5
Cheerios,359.0,12.8,74.4,6.41,10.3
Biscotti Pan di Stelle,485.0,7.8,64.0,21.0,4.2
Root Vegetables,523.0,6.7,40.1,35.1,10.1
Concentré de Tomates,96.0,4.2,17.0,0.2,0.0
KEFIR YOGURT Passion Fruit Mango and Papaya,77.0,4.8,6.5,3.4,0.0
All purpose,0.0,0.0,0.0,0.0,0.0
Crunchy cream,547.0,3.7,59.4,32.4,1.6
Magarine 30%fett,251.0,0.5,0.5,28.0,0.0
Cheese Twists,527.0,12.1,53.5,28.7,3.3
HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x6 -210g,109.2,21.0,0.9,2.4,0.0
Corn Cakes,390.0,7.9,87.8,0.8,0.4
SO Organic Tomato Ketchup,98.0,1.2,22.1,0.5,1.3
Quadro l'original,527.0,6.6,56.0,30.0,3.2
Riz au curry et légumes,167.0,3.3,30.0,3.4,1.4
Danone assil saveur coco,0.0,0.0,0.0,0.0,0.0
Rainbow Salmon Poke,161.0,5.65,25.1,4.24,0.7070000000000001
Takis Fuego,486.0,5.2,51.0,27.0,8.5
Copos tostados de trigo integral y arroz con chocolate,397.0,8.6,71.0,6.6,9.1
High protein mango,51.0,7.4,4.3,0.2,0.5
Tortilla Wraps Vollkorn,290.0,9.4,52.0,4.4,2.8
Jamila Maxi,70.0,1.6,11.4,1.3,0.0
Tabasco -  Red Pepper Hot Sauce,16.0,1.0,1.6,0.7,1.3
Triscuit Cracker,429.0,10.7,71.4,12.5,10.7
Panda Brand Oyster Flavoured Sauce,113.0,1.2,27.0,0.5,0.0
Big Mac,228.0,11.6,18.1,11.6,1.64
Œufs frais plein air,140.0,13.0,0.5,9.8,0.0
Roasted Cashew-Peanut-Mix Honey & Salt,533.0,14.7,43.2,32.4,5.0
IAURT CREMOS în stil GRECESC,123.0,3.7,4.5,10.0,0.0
Sardines huile d olive vierge,227.0,23.0,0.0,15.0,0.0
Menier Pâtissier Tablette,521.0,7.1,52.7,29.3,8.7
Lentilles Vapeur,116.0,8.7,16.0,0.4,6.8
Sirop citron vert et menthe,143.0,0.2,31.2,0.0,0.0
HERTA bacon 15T - 150g,110.1,21.0,0.0,2.9,0.0
Sélégerme,355.0,37.0,27.0,7.0,18.0
"Gerblé - Sesame Chocolate Cookie, 200g (7.1oz)",471.0,10.0,60.0,20.0,5.6
Barre amande,420.0,7.9,67.0,13.0,4.1
PUR ARABICA DES PETITS PRODUCTEURS l'original,0.0,0.0,0.0,0.0,0.0
Boisson Amande,29.0,0.5,4.6,1.2,0.0
Huile d'olive Bio BO 75cl,900.0,0.0,0.0,100.0,0.0
Petits pains grillés au blé complet 400g,408.0,10.0,66.0,10.0,6.9
Boisson soja nature,40.0,3.8,1.4,2.1,0.6
Filets de maquereaux au naturel,229.0,19.0,0.0,17.0,0.0
Formule boost,465.0,21.0,32.0,27.0,7.3
Framboise Passion,82.0,3.7,11.8,2.1,0.0
Tarama Extra,483.0,8.1,7.8,46.5,0.6
La Tajine de Boeuf et ses Légumes du Soleil,118.0,5.0,12.0,5.2,1.7
Parmentier de Poisson à la Ciboulette,121.0,6.5,11.0,5.4,1.1
Purée de Pois Cassés,104.0,6.5,12.0,2.4,4.7
Blé tendre cuisson 10 min Ebly 1kg,135.0,4.7,26.9,0.5,2.2
Petits Pains Grillés Au blé complet,414.0,12.0,68.0,6.3,6.3
Muffins complets,209.0,12.4,33.0,1.5,6.8
Frites Crousti' Express La classique,257.0,4.0,28.0,13.0,6.0
Ginger Nuts,461.0,5.8,71.3,16.5,2.3
Knorr All Purpose Seasoning Aromat,146.0,13.0,16.0,3.5,0.6
WALKERS  SALTED,517.0,6.4,52.0,31.0,3.9
Lime & Coriander Chutney Poppadoms,487.0,6.4,58.2,25.0,2.0
Creamy superfast oats,368.0,11.5,58.0,8.5,11.5
Country Crisp 4 Noix,465.0,11.0,58.6,20.0,6.1
Silken tofu,56.0,7.1,0.6,2.6,0.9
Cheddars Original Biscuits,533.0,10.6,46.8,33.0,2.8
Fanta orange,48.0,0.0,11.8,0.0,0.0
Crunchy Cranberry & Raspberry - Santé,422.0,3.7,72.0,13.0,2.6
Muștar de Masă,91.0,4.0,8.3,4.6,0.0
Daya mini Avocat,74.3,2.1,14.0,1.1,1.0
Conikos fromage,494.1,4.5,59.0,26.1,2.8
Yaourt ferme,100.0,3.8,15.5,3.0,0.0
Le Bon Paris Au Torchon conservation Sans Nitrite,105.0,20.0,0.5,2.5,0.5
NESTLE NESQUIK BIO Céréales 375g,374.0,9.1,75.2,2.1,8.7
Passata verace,35.0,1.2,6.3,0.1,1.1
Boisson avoine naturel,52.0,0.9,8.2,1.6,0.0
Pan Goccioli,334.0,8.3,46.0,12.0,4.8
Edulcorante de Mesa a Base de Ciclamato y Sacarina,29.0,0.9,2.1,0.0,8.3
Gazpacho fresco,75.0,0.6,2.5,7.0,0.9
Soft White Bread,234.0,9.4,41.9,2.2,4.7
La brandade de Morue parmentière gratinée,148.0,8.2,9.9,8.1,0.0
Paxo Sage & Onion Stuffing Mix,122.0,3.78,22.4,1.56,2.22
Petits Pois et Carottes 1/2,59.0,3.6,7.6,0.7,4.2
Brassé abricot mchmach,107.0,3.5,18.0,2.8,0.0
Poudre de cacao,323.0,23.1,11.8,11.7,0.0
Hummus con pimiento del piquillo asado,313.0,5.7,10.7,26.0,6.3
Milk Roll Sliced White Bread,248.0,9.4,45.0,2.8,2.4
Cruesli miel et noisettes,460.0,7.5,63.0,18.0,9.4
Poulain Bio 34 % de cacao,366.0,7.8,69.0,3.7,12.0
Panier de Yoplait - Fruits rouges,91.0,3.2999999523163,12.5,2.2999999523163,0.0
Ketchup Lesieur 250 g,114.0,0.9,26.0,0.0,0.0
State Baked Pretzels Sour Cream & Chive Flavour,414.0,10.0,71.0,9.2,3.7
Wholewheat Penne,145.0,5.7,27.4,0.6,3.9
kefir,50.0,3.4,4.7,2.0,0.0
Organic cacao nibs,633.0,13.0,15.0,56.0,10.0
Le Parmentier de Boeuf Charolais purée à la crème fraîche,137.0,9.2,9.7,6.5,1.2
Saint Moret bio,238.0,6.2,3.7,22.0,0.0
St Hubert Oméga 3 demi sel,468.0,0.0,0.0,52.0,0.0
Healthier Oil for Cooking (Red Palm Fruit & Rapeseed Oil),828.0,0.0,0.0,92.0,0.0
Lemon juice,20.0,0.5,15.0,0.5,0.5
Mangostreifen getrocknet,330.0,2.67,71.0,1.67,7.67
Nudeln Spaghetti,359.0,12.0,72.0,1.9,3.0
Ain saiss,0.0,0.0,0.0,0.0,0.0
Cannellini Beans,88.1,7.49,13.3,0.596,6.38
Bio et équitable,0.0,0.0,0.0,0.0,0.0
Fluffy Milky,431.0,6.17,49.5,23.13,0.0
Hüttenkäse Original,86.5,12.3,1.5,3.2,0.0
Thon Entier à l'Huile Végétale,0.0,0.0,0.0,0.0,0.0
Nuts & seeds muesli,381.0,11.5,59.8,8.7,8.8
Panecillo 100% integral,235.0,9.2,42.6,1.5,7.2
Gullon zero Snack Choco,454.0,8.0,56.0,24.0,9.2
Ristorante Pizza Mozzarella,244.0,10.0,23.0,12.0,1.6
Pringles classic paprika,519.0,6.5,56.0,29.0,3.9
Smooth Orange with no Bits,40.7,0.8,9.33,0.0,0.0
Sauce tomates cuisinées,51.0,1.4,5.3,2.3,0.0
"H-Vollmilch 3,5 % Fett",64.0,3.32,4.8,3.52,0.0
Yellow Label,4.0,0.5,0.5,0.5,0.0
Breton,507.0,5.5,56.0,29.0,0.0
Sauce soja salée,63.0,9.1,2.1,0.5,1.0
fondiz slices 24p,0.0,0.0,0.0,0.0,0.0
Pistacho tostado 0% sal,616.0,21.6,11.0,52.5,11.4
Hipro façon stracciatella,56.9,9.38,3.5,0.5,0.0
Ghayt Eau de Table,0.0,0.0,0.0,0.0,0.0
Spicy Mexican Rive,159.0,3.8,29.0,3.0,1.5
سيرجيو كبيرة,541.0,1.94,65.0,30.0,0.0
Tropico,30.0,0.0,7.2,8.0,0.0
Browny,348.0,3.84,44.0,17.26,1.3
Chocodays,372.0,8.0,70.0,4.8,7.6
Apă minerală naturală plată,0.0,0.0,0.0,0.0,0.0
Bebida Choco Avena,44.0,1.2,5.1,1.9,1.0
Organic soya drink,32.0,3.2,0.8,1.6,0.6
Wafer Sandwich,0.0,0.0,0.0,0.0,0.0
Greek style live yogurt,117.0,3.2,3.5,10.0,0.5
Californian Pistachios - Roasted & Salted,605.0,26.5,10.3,49.2,7.6
Poivrons grillés,39.0,0.6,6.8,0.5,0.9
Früchte Hafer-Müsli,341.0,8.2,63.8,4.0,8.4
Mackrel Fillets in spicy tomato sauce,165.0,13.3,7.2,9.2,0.0
Maïs doux croquant Bio,77.0,2.4,12.6,1.2,3.0
Mikado chocolat au lait,484.0,6.8,68.0,20.0,3.3
Bolognaise,82.0,4.5,6.9,3.7,1.5
"BN - Cookies - Mini Strawberry x 5, 175g (6.2oz)",431.0,5.3,74.3,12.4,2.4
Tajine de Légumes Grillés 1/2,77.0,1.4,8.3,3.8,1.8
Fruit shoot tropical,23.0,0.0,5.2,0.0,0.0
CHAUSSEE AUX MOINES 450g,305.0,20.0,0.0,25.0,0.0
oasis,34.0,0.1,8.3,0.0,0.0
Tartine demi-sel 100% végétal,495.0,0.0,0.0,55.0,0.0
sucre cassonade,400.0,0.0,100.0,0.0,0.0
Pain d'épices miel,329.0,3.2,75.0,1.0,3.6
Amora Moutarde Mi-Forte Verre de Table 230g,271.0,5.9,2.6,25.0,2.6
Panés de poulet x2,219.0,12.0,17.0,11.0,2.0
St hubert omega 3 750 g doux grand format,468.0,0.0,0.0,52.0,0.0
FITNESS Cerealien,366.0,9.4,72.2,2.1,10.7
Beurre moulé demi sel,726.0,0.8,0.6,80.0,0.0
Eau De Source De Montagne,0.0,0.0,0.0,0.0,0.0
Galleta de mantequilla,441.0,8.0,73.0,12.0,3.3
primfrais,255.0,4.5,3.0,25.0,0.0
10 Œuf frais,140.0,12.0,0.7,9.9,0.0
Chocolat noir aux écorces d'orange,524.0,5.1,52.0,31.0,8.5
Doritos Cool Original 180g,498.0,5.9,58.1,25.5,5.6
Tomato and Chilli,62.0,1.4,6.9,3.0,0.7
The Original Irish Cream,327.0,3.0,25.0,13.0,0.0
Fine cut Oxford marmalade,250.0,0.5,61.0,0.5,0.0
Innocent Smooth Orange Juice,35.0,0.7,7.8,0.5,0.7
100% oranges sans pulpe,35.0,0.7,7.8,0.5,0.7
Double Cream,467.0,1.5,1.6,50.5,0.0
Pure Squeezed Orange Juice Smooth Not From Concentrate,43.0,0.6,10.0,0.0,0.0
Kellogg's Tresor,437.0,7.0,69.0,14.0,3.5
Oat Original,61.0,0.3,7.9,3.1,0.0
Yaourts Brassés aux Fruits fraise,116.0,0.0,18.8,2.7,0.0
Yaourt au lait de chèvre,63.0,4.0,5.0,3.0,0.0
Jibal mangue,96.0,2.7,15.5,2.6,0.0
chocolat NESTLE DESSERT Noir 2X205g,551.0,5.9,50.6,34.6,7.2
Milk Chocolate Large Bar,529.0,5.5,61.2,28.4,2.45
Caramelo,545.0,4.3,56.0,33.0,1.2
Mozzarella mini,233.0,19.0,1.0,17.0,1.0
Tablette Kinder Chocolat Chocolat au Lait x16 -200g,566.0,8.7,53.5,35.0,0.0
Più integrali,452.0,8.0,59.1,18.0,11.0
Nutella Hazelnut Spread With Cocoa,0.0,6.0,57.6,31.6,3.4
Pan de molde integral,248.0,10.0,41.4,4.14,5.86
Cereales de chocolate y avellana,429.0,6.2,69.0,13.0,5.2
Atún Claro en Aceite de Girasol,245.0,21.0,0.9,18.0,0.0
Zumo pura naranja con pulpa,44.0,0.7,9.9,0.1,0.8
Pechuga de pavo bajo en sal finas lonchas,76.0,16.5,1.3,0.5,0.0
Pate d'arachide,634.0,26.0,8.0,53.0,0.0
Demae Ramen - Chicken,0.0,0.0,0.0,0.0,0.0
Spicy Ramen,393.0,9.29,60.7,12.1,2.86
MONT BLANC Chocolat,125.0,3.4,19.0,3.6,1.4
SUPER SMOOTH PORRIDGE,373.0,12.0,57.6,8.7,7.9
Raw Fruit & Nut Bar,377.0,7.0,56.0,12.0,8.4
Super Soft Seeded Wraps,284.0,8.55,48.5,4.84,6.29
Raw Fruit & Nut Bars - Bakewell Tart,398.0,7.9,52.0,15.7,7.7
Unt de masă,587.0,0.5,0.0,65.0,0.0
100% cacao maigre non sucré,330.0,28.0,15.0,11.0,31.0
Crema con avellanas,534.0,2.0,63.0,30.0,2.0
Mineral Water,0.0,0.0,0.0,0.0,0.0
Kelderman Dutch Stone Baked Rye Bread 9 Slices,223.0,7.5,44.0,0.8,0.0
Belvoir Farms Raspberry & Lemon Cordial,17.0,0.0,4.1,0.0,0.0
6 crumpets,99.0,3.3,19.9,0.4,1.3
Red Bull Energydrink,46.0,0.0,11.0,0.0,0.0
2 Tikka Masala Paste Pots,270.0,3.0,7.8,22.9,0.0
Linguine- Pâtes alimentaires de semoule et de blé dur 500G,347.0,13.0,64.0,2.5,8.0
100% peanut butter smooth,607.0,27.3,12.0,47.3,9.33
Lightly Salted Rice Cakes,381.0,8.9,77.2,3.2,4.1
Pancakes,305.0,6.4,42.0,12.0,0.0
Viennois chocolat,155.0,3.1,17.3,8.0,0.0
Sauce crudités nature,287.0,0.9,4.4,29.0,0.0
Activia rhubarb,89.0,3.9,12.0,2.8,0.0
Pâte à tartiner aux noisettes et au cacao,551.0,6.7,53.0,34.0,3.3
Magadascan Vanilla,97.0,1.1,14.0,3.9,0.5
Brioche Chocolat,352.0,5.9,55.0,11.0,5.3
Quality Street,468.0,3.3,67.2,20.2,1.4
Sundried Tomato & Oregano Bread with Sourdough,240.0,7.6,43.6,2.7,5.2
Peanut butter bars,397.0,7.33,36.7,22.7,15.3
HERTA LE BON PARIS Jambon sel réduit x4 - 140g,106.5,21.0,0.0,2.5,0.0
Srop de yacon,197.0,2.1,24.9,0.0,54.0
This isn't pork sausages,204.0,11.0,9.1,14.0,4.3
Hafer Barista,53.0,0.8,5.4,3.0,0.5
50G RICOLA FRAMBOISE MELISSE,239.0,0.0,98.0,0.0,0.0
Special k chocolat au lait,410.0,7.7,81.0,5.0,5.3
CRUMPET THINS,191.0,6.25,38.4,0.938,2.19
ketchup,86.0,1.6,22.0,0.0,0.0
"Beurre de cacahuètes, 350g",595.0,29.0,15.0,45.0,7.9
Irische Butter,746.0,0.6,0.7,82.3,0.0
Skyr à Boire Goût Fruits Rouges,61.0,6.0,8.7,0.2,0.0
crema di arachidi,617.0,25.8,14.0,49.0,8.2
100% integral,223.0,9.1,38.0,2.5,0.0
Veggie Straws,477.0,8.64,59.1,20.9,4.55
Biscuits au Germe de Blé Soja et Orange,457.0,11.0,65.0,16.0,4.4
Natural 100%,250.0,11.0,42.0,3.2,6.1
Tomates Cerises,19.3,0.86,2.49,0.26,1.2
vamos marshmellow white,494.0,5.5,69.6,23.4,0.0
Raw & Unfiltered Honey,286.0,0.0,81.0,0.0,0.0
Baked Beans in Tomato Sauce,80.0,4.2,13.1,0.5,3.6
Scottish Whole Rolled Oats,362.0,10.2,60.5,7.0,8.25
La boule bio,0.0,0.0,0.0,0.0,0.0
Tropical Granola,442.0,9.33,62.2,15.3,8.89
Bouillon de Poule,5.0,0.5,0.5,0.5,0.5
Sablé des FLANDRES,460.0,6.7,75.0,14.0,2.5
Flanby,97.0,2.8,19.6,0.7,0.1
Kango,530.0,5.3,57.0,30.0,3.1
Farine de blé T45,335.0,8.4,70.9,1.1,4.0
Grimbergen Blonde,54.0,0.6,3.7,0.1,0.0
Blanc de Dinde - Doré au Four,102.0,22.0,0.5,1.3,0.0
eau de source,0.0,0.0,0.0,0.0,0.0
Bâtonnets de surimi,119.0,7.5,9.5,5.3,1.6
St Môret Léger 8% MG,132.0,10.0,5.0,8.0,0.0
Biscottes Aixoises,410.0,12.0,72.0,6.0,4.4
Le Beurre De Condé-Sur-Vire Doux,744.0,0.7,0.8,82.0,0.0
Pois chiches,123.0,6.9,16.0,2.1,6.1
Spécial mie Complet,220.0,8.4,36.0,3.1,7.1
Mayonnaise à la moutarde de Dijon,286.0,0.7,8.6,28.0,0.5
Chocolat noir 98 % Équateur,620.0,14.0,13.0,54.0,14.0
Bruschette Chips Pizza Flavour,453.0,9.1,71.0,14.0,3.3
bolognese sauce,45.0,1.3,7.9,0.6,0.0
Nusskernmischung,644.0,20.0,11.0,57.0,5.7
Tofu rosso olives et tomates,237.0,17.0,5.0,16.0,0.0
Clover margerine,587.0,0.7,1.0,64.5,0.0
Mature Lighter,310.0,29.1,0.1,21.5,0.0
Tahini,666.0,26.4,4.1,58.7,8.0
Weetabix Chocolate 24s - Tesco imp,368.0,10.1,67.9,4.0,10.0
Organic black beans,72.0,5.3,8.0,0.6,6.9
Granola Cinnamon & Pecan,490.0,8.6,46.0,29.0,9.1
sprite 500ml,19.2,0.0,4.4,0.0,0.0
Yaourt Jnane,102.0,10.0,14.0,0.10000000149012,0.0
Thon a la sauce tomate,175.0,33.0,0.96,4.4,0.0
Valencia 100% jus orange 1l,50.0,0.7,10.9,0.0,0.0
Pain grille,389.0,12.0,72.0,4.8,4.1
Belvita petit déjeuner,438.0,7.8,66.0,14.0,6.1
Chocolate con leche Oreo,564.0,5.4,56.0,34.0,1.4
соус оливковый барилла на банете,77.0,1.9,6.2,4.5,2.1
Buongrano Integrale,447.0,9.41,63.5,16.5,82.4
Rosti,190.0,2.0,26.0,8.0,3.0
fanta tops pomme 1.5l,0.7,0.0,0.0,0.0,0.0
Cardella Spaghetti,352.0,11.2,0.0,0.16,0.0
sweet chilli sauce imp,230.0,0.6,55.1,0.7,0.0
Puck,325.0,7.5,2.5,32.5,0.0
Atún Gran Sabor Isabel,198.0,27.0,0.0,10.0,0.0
Leerdammer L'Original 16 tranches,352.0,26.0,0.10000000149012,27.5,0.0
Sauce Tomate aux légumes grillés,51.0,1.3,5.5,2.3,1.3
Beta3 Oatbran,364.0,16.0,48.2,7.6,19.4
Protein Knäcke Kürbiskern,461.0,33.0,31.0,21.0,7.8
HAZELNUT CHOCOLATE SPREAD,561.0,6.1,50.2,36.5,3.2
Passionfruit & Mango Mochi Ice Cream,215.0,1.25,31.2,9.06,0.0
Galletas de canela,468.0,6.4,71.0,17.0,2.9
Colin d'Alaska MSC - 7 Céréales & Graines,196.0,13.0,19.0,7.2,1.6
Pack Sucre en Poudre 650g,400.0,0.0,100.0,0.0,0.0
Krisprolls Complets Sans sucres ajoutés,400.0,13.0,68.0,6.6,8.3
Tesco Soft Cheese 50% less fat,157.0,9.7,4.9,11.0,0.0
Crisp rice,385.0,7.9,84.8,1.3,1.6
The vert de chine,1.0,0.1,0.2,0.0,0.0
Cacao & Orange 5 Raw Fruit & Nut Bars,426.0,9.14,60.3,14.3,8.29
Cannellini Beans In Water,90.0,5.9,12.0,0.6,5.8
Salted dark chocolate almonds,566.0,12.0,31.0,43.0,7.6
Leka Cream,0.0,3.6,60.6,30.2,0.0
Flan pâtissier,125.0,3.0,25.0,1.5,0.1
Huile d'Olive Vierge Extra Sans Résidus de Pesticides,900.0,0.0,0.0,100.0,0.0
Pain complet au sarrasin,224.0,7.5,33.0,3.6,15.0
Mackerel fillets,163.0,14.4,3.65,10.2,0.0
Soya Blueberry soijajogurtti,72.0,3.6,9.9,1.8,1.0
Crema Balsamico Classic,228.0,0.6,54.0,0.0,0.0
"Mature Cheddar, Strength 3",416.0,25.4,0.1,34.9,0.0
Sourdough Crumpets,173.0,5.64,34.5,0.545,2.73
Omega-3 Fish Fingers,191.0,11.6,17.1,8.2,1.2
Sauce basilic aux tomates fraîches de saison,62.0,1.6,8.0,2.3,1.3
Muesli Crunchy fruits rouges,453.0,9.3,61.0,17.4,7.5
Velouté Vanille,0.0,0.0,11.4,2.85,0.0
Taste of Gorgeous Green,99.0,6.1,12.6,1.7,4.5
Almendra sin piel,619.0,22.8,6.9,54.0,10.6
Tomato Sauce for Bolognese,49.0,1.6,5.3,2.1,0.0
ICE PULPA CITRON,35.9,0.0,8.8,0.0,0.0
Plant Chef Soya Alternative To Plain Yogurt,42.0,4.7,0.0,2.3,1.1
vegetable fusion gyoza,173.1481481,9.259259259,27.592592592592602,3.5185185189999997,2.592592593
Korean Kimchi,15.0,1.5,0.8,0.5,2.9
Granola Bar Vanilla & White Cream,476.0,12.0,58.0,23.0,3.6
Tofu cuisiné pesto et graines de courges,199.0,14.0,6.3,12.0,4.0
Raspberry & Apple Soft Oaty Bars,411.0,7.5,55.0,15.0,13.0
Matin Miel,445.0,9.3,64.0,15.0,8.6
Oh my crisp ! - Noix,440.0,9.0,47.0,20.0,18.0
excelo,541.0,6.3,57.5,31.5,3.4
vache qui rit 64p,0.0,0.0,0.0,0.0,0.0
Sainsburys Basmati Rice,142.0,3.04,29.5,1.2,0.88
Chia Seeds,422.0,23.89999961853,2.400000095,27.70000076,0.0
Power Cakes Flapjack & Waffle Mix Buttermilk,349.0,23.8,58.7,3.97,7.94
Peeled Tomatoes in tomato juice,29.0,1.3,4.1,0.4,1.2
Tomatenpuree,94.0,4.7,15.7,0.5,5.04
28 bâtonnets de surimi,122.0,8.0,9.6,5.5,0.0
Ahornsirup,268.0,0.0,67.0,0.0,0.0
Crème fraîche gastronomique,291.0,2.3,2.9,30.0,0.0
Sablés sésame & pavot,490.0,8.6,59.0,23.0,6.5
