name,calories,protein,carbs,fat,fiber
Cabbage kofta curry (Pattagobhi kofta curry),639.81,0.98,2.87,69.4,0.9
Ghiya/Lauki Kofta Curry,638.71,0.89,2.71,69.4,0.83
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,1.43,2.94,65.41,0.75
Vegetarian egg kofta curry,627.41,1.33,4.26,67.24,0.64
Baked vegetables,88.99,3.67,8.44,4.44,2.34
Cauliflower musallam (Phoolgobhi musallam),58.83,1.89,4.48,3.55,3.06
Baked vegetables with spinach ,77.79,3.22,6.93,4.03,2.33
Baked potato with skin ,135.77,3.43,11.11,8.5,1.2
Shepherd's pie (vegetarian),135.63,5.04,12.03,7.3,2.23
Baked brinjal in tomato sauce,38.63,1.58,4.13,1.62,2.34
Dum aloo,682.33,0.7,3.33,74.01,0.68
Spinach paneer (Palak paneer),77.68,4.03,4.43,4.76,1.91
Methi chaman,475.62,1.54,2.78,50.91,0.53
Sarson ka saag,87.84,3.0,5.33,5.86,3.69
Jackfruit sabzi (Kathal ki sabzi),625.4,0.69,3.4,67.6,1.02
Avial,124.56,2.46,8.47,8.94,5.44
Al yakhani,147.54,2.86,4.65,13.14,1.27
Shahi paneer,156.5,5.06,6.64,12.34,1.4
Paneer in butter sauce,145.61,6.99,9.7,8.81,1.5
Methi malai paneer,194.98,7.34,8.15,14.76,1.47
Chilli paneer,777.51,2.1,3.31,84.01,0.5
Paneer makhana korma,775.82,3.24,4.63,82.76,0.21
Kadhai Paneer,107.99,4.33,7.34,6.81,2.07
Roghan josh,139.59,9.56,4.93,9.02,2.08
Spinach mutton (Palak mutton),80.32,5.74,3.45,4.71,2.23
Pea keema curry (Matar keema ki sabzi),133.0,8.43,6.24,8.14,2.96
Keema kofta curry,154.45,9.77,5.64,10.39,1.51
Kashmiri mutton koftas (Gushtaba),97.42,6.33,3.04,6.77,0.62
Mutton yakhni,104.13,8.27,0.84,7.7,0.67
Chicken yakhni,99.0,10.66,0.78,6.1,0.62
Mutton do piaza,183.3,9.39,4.14,14.41,1.93
Mutton chops,663.64,4.03,1.48,71.31,0.17
Shammi kebab,685.69,4.52,3.54,72.61,1.05
Scotch egg,676.89,4.05,1.91,72.62,0.36
Shepherd's pie (with minced meat),142.78,7.45,8.06,8.88,1.05
Chicken curry,129.22,11.79,3.38,7.57,1.41
Tandoori chicken,145.2,16.26,2.34,7.93,0.5
Butter chicken,137.0,10.92,3.74,8.7,1.32
Chicken kebab,729.41,3.71,1.11,78.89,0.21
Chilli chicken,198.83,9.57,2.86,16.56,0.99
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,11.48,2.51,7.61,1.13
Fish curry (Machli curry),111.13,8.76,3.77,6.69,1.89
Fried fish (Indian style) (Tali hui machli),658.54,4.35,5.4,68.88,0.61
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,3.36,2.77,69.69,0.29
Tomato fish,489.79,2.39,3.18,51.91,0.72
Baked fish with cheese sauce,113.96,8.64,4.06,7.02,0.08
Fish tikka,117.33,16.0,3.91,4.15,1.18
Tandoori fish,95.98,11.19,2.37,4.64,0.58
"Paneer, apple and pineapple salad",95.08,3.88,8.35,5.07,1.65
Russian salad,114.83,4.26,6.5,7.84,2.57
Pasta salad,190.36,4.15,12.7,13.92,0.96
Deviled egg,98.56,4.97,2.23,7.72,1.15
Hawain salad,175.23,4.27,14.35,11.37,3.93
Mixed pulse and vegetable salad,83.12,4.74,13.96,0.84,2.96
Sprouted moong salad ,37.81,2.29,5.48,0.74,0.95
Tossed salad,62.96,1.02,4.95,4.22,2.15
Mixed vegetable salad with curd sauce,60.28,4.23,7.03,1.5,3.79
Potato salad (Aloo ka salaad),89.91,1.4,11.19,4.4,1.32
Waldroff salad,141.75,1.47,11.02,10.05,1.87
Coleslaw,76.71,1.24,5.59,5.32,2.34
Fruit salad (Phalon ka salaad),78.14,0.91,15.96,1.22,1.58
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,3.74,7.08,1.84,0.97
Peanut raita (Mungfali ka raita),150.39,8.59,9.3,8.98,1.89
Sprouted moong raita ,60.89,4.62,6.13,2.19,0.16
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,3.98,5.76,2.07,0.85
Cucumber raita (Kheere ka raita),59.13,4.04,6.35,2.08,0.86
Carrot and spinach raita (Gajar aur palak ka raita),56.83,4.0,5.83,1.99,1.39
Mint raita (Pudinay ka raita),77.59,5.64,7.65,2.96,0.34
Potato raita (Aloo ka raita),75.38,4.22,10.24,2.04,0.75
Boondi raita,687.72,2.19,3.96,73.83,0.46
Sweet raita (Meetha raita),99.24,3.24,17.93,1.78,1.02
Dahi vadas/Dahi bhalla,667.73,2.96,5.49,70.4,0.97
Gunjia,667.34,2.98,5.68,70.28,1.13
Saunth/Sonth chutney with tamarind/imli,141.53,1.01,33.55,0.15,0.93
Rice kheer (Chawal ki kheer),75.03,2.3,10.05,2.97,0.17
Makhana kheer,107.85,3.31,12.88,5.0,0.11
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,3.35,15.87,5.0,0.5
Semolina kheer (Suji/Rava kheer),113.21,3.43,15.88,4.2,0.51
Paneer kheer,105.31,4.53,10.03,5.37,0.07
Cabbage kheer (Pattagobhi ki kheer),83.51,2.87,9.73,3.8,0.51
Carrot kheer (Gajar ki kheer),85.35,2.81,10.09,3.85,0.73
Cauliflower kheer (Phoolgobhi ki kheer),81.95,3.04,8.78,3.95,0.55
Moong dal kheer,77.16,2.95,9.89,2.97,0.4
Phirni,116.12,3.49,16.11,4.34,0.36
Semolina halwa (Suji ka halwa),225.65,2.16,24.67,13.38,1.86
Shahi suji halwa,382.34,3.48,44.44,21.73,2.96
Carrot halwa (Gajar ka halwa),172.64,3.11,18.53,9.73,2.65
Egg halwa (Ande ka halwa),299.74,7.85,39.59,13.41,0.49
Potato halwa (Aloo ka halwa),151.66,1.53,29.18,3.48,1.64
Pumpkin halwa (Kaddu ka halwa),190.27,1.33,27.6,8.81,2.97
Moong dal halwa,349.8,8.35,40.23,17.68,2.65
Caramel custard (steamed),121.58,4.97,15.02,4.87,0.0
Baked custard,106.53,5.41,9.45,5.3,0.0
Soft Custard (stirred),109.18,5.01,11.19,5.07,0.0
Chocolate ice cream,177.7,4.47,15.41,11.25,0.0
Mango ice cream,125.69,3.4,11.14,7.62,0.52
Fruit Ice cream (Phalon ka Ice cream),171.46,4.37,16.05,10.38,0.33
Caramel ice cream,173.52,4.31,14.81,11.15,0.08
Lemon souffle,168.51,6.95,13.43,10.02,0.0
Orange souffle,168.28,6.8,14.2,9.73,0.22
Vanilla souffle,187.85,7.71,14.78,11.19,0.0
